tweeter_id,avatar_url,tw_time,tw_text,tw_replies,tw_retweets,tw_favorites
DukeDCID,https://pbs.twimg.com/profile_images/991404062099689472/ZW5Ytcvh_bigger.jpg,8:15 PM - 16 Nov 2018,"In a recent seminar, Osondu Ogbuoji discussed financing African public health in relation to millennium development goals and sustainable development goals. Click here to learn more about his perspective: http://bit.ly/2PYEKN4  #DukeDevCon18 #DukeintheWorld",0,1,4
umichsphglobal,https://pbs.twimg.com/profile_images/378800000439092322/552bf4b616befd1c925da6b3488150a6_bigger.png,2:55 PM - 16 Nov 2018,"Starting now in 1680 SPH I! Despite being a major focus of the UN’s Millennium Development Goals, there are still obstacles to improving health outcomes for mothers and their children. Join us as we explore this issue with guest Tom Hundley, a senior editor at the @pulitzercenter",0,0,0
globalpeacef1,https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,2:54 PM - 16 Nov 2018,Advocate and contribute to the achievement of the United Nations’ Millennium Development Goals. http://bit.ly/VgToM0 ,0,0,0
techie_2000,https://pbs.twimg.com/profile_images/378800000296106324/5cf131ff14d91df3579971b088abc5fc_bigger.jpeg,9:20 AM - 16 Nov 2018,"Field Kahani Episode 5 Before Sustainable Development Goals (SDGs) were introduced in year 2015, the Millennium Development Goals were the benchmark for development across the world. The video provides an overview of PPAF's workshops on MDGs.… http://dlvr.it/QrNd8s pic.twitter.com/hFFx1U1lcP",0,0,0
PPAFofficial,https://pbs.twimg.com/profile_images/1065896233045237761/JjbYXY9m_bigger.jpg,10:35 AM - 15 Nov 2018,"Field Kahani Episode 5  Before Sustainable Development Goals (SDGs) were introduced in year  2015, the Millennium Development Goals were the benchmark for  development across the world. The video provides an overview of PPAF's  workshops on MDGs.

https://www.youtube.com/watch?v=1Iy-WID3Poo …",0,0,3
BrookingsGlobal,https://pbs.twimg.com/profile_images/1052232274937307137/4i3moXWC_bigger.jpg,6:00 PM - 14 Nov 2018,"Despite global progress in poverty reduction, health, education, & the economy, fragile states are poised to be left behind by the Sustainable Development Goals in the same way they were left behind by the Millennium Development Goals https://brook.gs/2B5kyRn ",0,2,3
ClimateWed,https://pbs.twimg.com/profile_images/1010545338426560513/qkXIrJK4_bigger.jpg,1:30 PM - 14 Nov 2018,"The global Millennium Development Goals’ target for drinking water was met in 2010. About 2.6 billion people have gained access to improved sources of drinking water since 1990.

Dr. @CORAH_W
#ClimateWednesday
#WASH
#PICTURE:Wikipediapic.twitter.com/7XEa6lxgfI",0,1,1
globalpeacef1,https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,10:54 AM - 14 Nov 2018,Advocate and contribute to the achievement of the United Nations’ Millennium Development Goals. http://bit.ly/VgToM0 ,0,0,0
ClimateWed,https://pbs.twimg.com/profile_images/1010545338426560513/qkXIrJK4_bigger.jpg,1:04 AM - 14 Nov 2018,"Gender equality

The world has made progress towards gender equality and women’s empowerment under the Millennium Development Goals (including equal access to primary education between girls and boys). In spite of this, women and girls continue to suffer discrimination. pic.twitter.com/GKkMZFByU5",0,2,1
sharanjit,https://pbs.twimg.com/profile_images/876449194092838912/dT9FutZm_bigger.jpg,6:54 AM - 12 Nov 2018,Could you explain why you think this is incredible?  There were far more before 2000 and the millennium development goals.,0,0,0
globalpeacef1,https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,6:54 AM - 12 Nov 2018,Advocate and contribute to the achievement of the United Nations’ Millennium Development Goals. http://bit.ly/VgToM0 ,0,0,0
zeropovertyPH,https://pbs.twimg.com/profile_images/725901502292746242/z8kZj8L1_bigger.jpg,3:04 AM - 12 Nov 2018,“The Philippines then could not pass the millennium development goals. One of the things that the government before had trouble addressing was the increasing child mortality rate. Many… https://www.instagram.com/p/BqEOjiPhnAN/?utm_source=ig_twitter_share&igshid=1xgxfpi88vvxk …,0,0,0
tumaini_tz,https://pbs.twimg.com/profile_images/1031249105794813953/IhG9xBI-_bigger.jpg,1:55 AM - 12 Nov 2018,Antimicrobial resistance is putting the gains of the Millennium Development Goals at risk and endangers achievement of the Sustainable Development Goals. #AMR #WAAW2018 #StopDrugResistance,0,0,2
